,Target Name,"Target, Subunit, Species",Target Mutant/Chimera Details,Target Species (Bioactivity),Substance Action on Target,Substance Effect,Bioassay Category,Bioassay Name,Bioassay Details,Biological Species/NCBI ID,Medchem: Measurement Parameter,Unit,Qualitative value,Quantitative value,References,Canomical_Smiles,pChEMBL
232,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,Inhibitor,inhibitory activity,In Vitro (Efficacy),NaN,"Inhibitory concentration of the compound against 1 nM wild type human ANAPLASTIC LYMPHOMA KINASE expressed in SF9 insect cells using 2.5 uL Ulight-CKKSRGDYMTMQIG as substrate in presence of 100 uM ATP upon incubation in 50 mM Hepes, pH 7.5 for 90 mins at RT by LANTHANIDE CHELATE EXCITE TIME-RESOLVED FLUORESCENCE RESONANCE ENERGY TRANSFER (LANCE TR-FRET) ASSAY",NaN,IC50,nM,=,0.1,Patent; ASCENTAGE PHARMACEUTICAL GROUP CO LTD; WO2015/127629; (2015); A1;,CCc1cc2c(=O)c3c4ccc(C#N)cc4[nH]c3n(C(C)C)c2cc1N1CCNCC1,1
230,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,Inhibitor,inhibitory activity,In Vitro (Efficacy),NaN,"Inhibitory concentration of the compound against 1 nM wild type human ANAPLASTIC LYMPHOMA KINASE expressed in SF9 insect cells using 2.5 uL Ulight-CKKSRGDYMTMQIG as substrate in presence of 100 uM ATP upon incubation in 50 mM Hepes, pH 7.5 for 90 mins at RT by LANTHANIDE CHELATE EXCITE TIME-RESOLVED FLUORESCENCE RESONANCE ENERGY TRANSFER (LANCE TR-FRET) ASSAY",NaN,IC50,nM,=,0.11,Patent; ASCENTAGE PHARMACEUTICAL GROUP CO LTD; WO2015/127629; (2015); A1;,CCc1cc2c(=O)c3c4ccc(C#N)cc4[nH]c3n(C(C)C)c2cc1N1CCC(N2CCN(C)CC2)CC1,1
231,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,Inhibitor,inhibitory activity,In Vitro (Efficacy),NaN,"Inhibitory concentration of the compound against 1 nM wild type human ANAPLASTIC LYMPHOMA KINASE expressed in SF9 insect cells using 2.5 uL Ulight-CKKSRGDYMTMQIG as substrate in presence of 100 uM ATP upon incubation in 50 mM Hepes, pH 7.5 for 90 mins at RT by LANTHANIDE CHELATE EXCITE TIME-RESOLVED FLUORESCENCE RESONANCE ENERGY TRANSFER (LANCE TR-FRET) ASSAY",NaN,IC50,nM,=,0.22,Patent; ASCENTAGE PHARMACEUTICAL GROUP CO LTD; WO2015/127629; (2015); A1;,CCc1cc2c(=O)c3c4ccc(C#N)cc4[nH]c3n(C(C)C)c2cc1N1CCN(C(C)C)CC1,1
149,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,Inhibitor,inhibitory activity,In Vitro (Efficacy),NaN,"Inhibitory concentration of the compound against 1 nM wild type human ANAPLASTIC LYMPHOMA KINASE expressed in SF9 insect cells using 2.5 uL Ulight-CKKSRGDYMTMQIG as substrate in presence of 100 uM ATP upon incubation in 50 mM Hepes, pH 7.5 for 90 mins at RT by LANTHANIDE CHELATE EXCITE TIME-RESOLVED FLUORESCENCE RESONANCE ENERGY TRANSFER (LANCE TR-FRET) ASSAY",NaN,IC50,nM,=,0.26,Patent; ASCENTAGE PHARMACEUTICAL GROUP CO LTD; WO2015/127629; (2015); A1;,CCCc1cc2c(=O)c3c4ccc(C#N)cc4[nH]c3n(C(C)C)c2cc1N1CCN(C)CC1,1
237,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,Inhibitor,inhibitory activity,In Vitro (Efficacy),NaN,"Inhibitory concentration of the compound against 1 nM wild type human ANAPLASTIC LYMPHOMA KINASE expressed in SF9 insect cells using 2.5 uL Ulight-CKKSRGDYMTMQIG as substrate in presence of 100 uM ATP upon incubation in 50 mM Hepes, pH 7.5 for 90 mins at RT by LANTHANIDE CHELATE EXCITE TIME-RESOLVED FLUORESCENCE RESONANCE ENERGY TRANSFER (LANCE TR-FRET) ASSAY",NaN,IC50,nM,=,0.26,Patent; ASCENTAGE PHARMACEUTICAL GROUP CO LTD; WO2015/127629; (2015); A1;,CCc1cc2c(=O)c3c4ccc(C#N)cc4[nH]c3n(C(C)C)c2cc1C1CCNCC1,1
219,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,Inhibitor,inhibitory activity,In Vitro (Efficacy),NaN,"Inhibitory concentration of the compound against 1 nM wild type human ANAPLASTIC LYMPHOMA KINASE expressed in SF9 insect cells using 2.5 uL Ulight-CKKSRGDYMTMQIG as substrate in presence of 100 uM ATP upon incubation in 50 mM Hepes, pH 7.5 for 90 mins at RT by LANTHANIDE CHELATE EXCITE TIME-RESOLVED FLUORESCENCE RESONANCE ENERGY TRANSFER (LANCE TR-FRET) ASSAY",NaN,IC50,nM,=,0.31,Patent; ASCENTAGE PHARMACEUTICAL GROUP CO LTD; WO2015/127629; (2015); A1;,C#Cc1cc2c(=O)c3c4ccc(C#N)cc4[nH]c3n(C(C)C)c2cc1N1CCN(C)CC1,1
242,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,Inhibitor,inhibitory activity,In Vitro (Efficacy),NaN,"Inhibitory concentration of the compound against 1 nM wild type human ANAPLASTIC LYMPHOMA KINASE expressed in SF9 insect cells using 2.5 uL Ulight-CKKSRGDYMTMQIG as substrate in presence of 100 uM ATP upon incubation in 50 mM Hepes, pH 7.5 for 90 mins at RT by LANTHANIDE CHELATE EXCITE TIME-RESOLVED FLUORESCENCE RESONANCE ENERGY TRANSFER (LANCE TR-FRET) ASSAY",NaN,IC50,nM,=,0.32,Patent; ASCENTAGE PHARMACEUTICAL GROUP CO LTD; WO2015/127629; (2015); A1;,CCc1cc2c(=O)c3c4ccc(C#N)cc4[nH]c3n(C(C)C)c2cc1C1CCN(CCO)CC1,1
165,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,Inhibitor,inhibitory activity,In Vitro (Efficacy),NaN,"Inhibitory concentration of the compound against 1 nM wild type human ANAPLASTIC LYMPHOMA KINASE expressed in SF9 insect cells using 2.5 uL Ulight-CKKSRGDYMTMQIG as substrate in presence of 100 uM ATP upon incubation in 50 mM Hepes, pH 7.5 for 90 mins at RT by LANTHANIDE CHELATE EXCITE TIME-RESOLVED FLUORESCENCE RESONANCE ENERGY TRANSFER (LANCE TR-FRET) ASSAY",NaN,IC50,nM,=,0.49,Patent; ASCENTAGE PHARMACEUTICAL GROUP CO LTD; WO2015/127629; (2015); A1;,COc1cc2c(=O)c3c4ccc(C#N)cc4[nH]c3n(C(C)C)c2c(F)c1C1CCN(C)CC1,1
196,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,NaN,NaN,In Vitro (Efficacy),NaN,"In vitro inhibitory concentration of the compound (dissolved in 2.5 % DMSO) against baculovirus expressed human Anaplastic lymphoma kinase upon incubation with 20 mM HEPES buffer, pH 7.2, for 1 hour at 37 degree C using 10 ug/mL recombinant PLC-gamma/GST substrate in presence of 1 uM ATP by Time resolved fluorescence (TRF) assay",human,IC50,nM,=,0.51,"Article; Breslin, Henry J.; Lane, Brandon M.; Ott, Gregory R.; Ghose, Arup K.; Angeles, Thelma S.; Albom, Mark S.; Cheng, Mangeng; Wan, Weihua; Haltiwanger, R. Curtis; Wells-Knecht, Kevin J.; Dorsey, Bruce D.; Journal of Medicinal Chemistry; vol. 55; 1; (2012); p. 449 - 464;",COc1cc(N2CCN(C)CC2)c2cc1Nc1ncc(Cl)c(n1)Nc1cc(ccc1N(C)S(C)(=O)=O)CC2,1
238,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,Inhibitor,inhibitory activity,In Vitro (Efficacy),NaN,"Inhibitory concentration of the compound against 1 nM wild type human ANAPLASTIC LYMPHOMA KINASE expressed in SF9 insect cells using 2.5 uL Ulight-CKKSRGDYMTMQIG as substrate in presence of 100 uM ATP upon incubation in 50 mM Hepes, pH 7.5 for 90 mins at RT by LANTHANIDE CHELATE EXCITE TIME-RESOLVED FLUORESCENCE RESONANCE ENERGY TRANSFER (LANCE TR-FRET) ASSAY",NaN,IC50,nM,=,0.52,Patent; ASCENTAGE PHARMACEUTICAL GROUP CO LTD; WO2015/127629; (2015); A1;,CCc1cc2c(=O)c3c4ccc(C#N)cc4[nH]c3n(C(C)C)c2cc1C1CCN(C)CC1,1
