,ad_gpu_mean,ad_gpu_median,ad_gpu_max,ad_gpu_min,Active
active_1000,-6.849024390243902,-6.87,-5.91,-7.63,0
active_1001,-5.720934579439254,-5.72,-4.72,-6.44,0
active_1002,-6.145643564356436,-6.16,-4.86,-7.04,0
active_1003,-4.680888888888889,-4.69,-3.52,-5.73,0
active_1004,-4.950847457627119,-4.98,-4.14,-5.64,0
active_1005,-7.480915492957746,-7.49,-5.82,-9.09,0
active_1006,-6.388472222222223,-6.345000000000001,-4.61,-7.49,0
active_1007,-8.718037974683545,-8.774999999999999,-6.37,-10.12,0
active_1008,-6.516470588235294,-6.4,-5.65,-8.12,0
active_1009,-5.780689655172413,-5.95,-4.82,-6.62,0
active_100,-7.25,-7.39,-6.4,-8.16,1
active_1010,-6.683513513513514,-6.62,-5.35,-8.06,0
active_1011,-7.168823529411765,-7.15,-5.67,-8.44,0
active_1012,-6.198235294117647,-6.4,-4.67,-7.19,0
active_1013,-7.161944444444444,-7.145,-5.73,-8.62,0
active_1014,-6.9644642857142856,-7.005000000000001,-5.07,-8.19,0
active_1015,-5.785517241379311,-5.83,-3.89,-7.06,0
active_1016,-5.3685,-5.44,-4.04,-6.62,0
active_1017,-6.1225000000000005,-6.125,-5.11,-7.33,0
active_1018,-5.802424242424243,-5.85,-4.64,-6.65,0
active_1019,-6.523548387096774,-6.48,-5.54,-7.63,0
active_101,-6.920454545454546,-6.880000000000001,-5.76,-8.49,1
active_1020,-5.860571428571428,-5.94,-4.68,-7.13,0
active_1021,-5.710704225352113,-5.69,-4.79,-6.42,0
active_1022,-6.244999999999999,-6.225,-4.95,-7.5,0
active_1023,-6.611555555555555,-6.68,-5.42,-7.4,0
active_1024,-6.3221875,-6.455,-4.62,-7.19,0
active_1025,-6.8394736842105255,-6.75,-5.9,-8.25,0
active_1026,-6.9435,-7.09,-5.99,-8.42,0
active_1027,-7.156296296296295,-7.18,-6.0,-8.36,0
active_1028,-7.823589743589744,-7.98,-6.27,-9.19,0
active_1029,-6.238139534883721,-6.23,-4.76,-7.75,0
active_102,-7.283333333333334,-7.295,-6.41,-7.98,1
active_1030,-7.580434782608695,-7.5,-6.67,-9.1,0
active_1031,-7.154545454545453,-7.234999999999999,-6.04,-7.81,0
active_1032,-7.049473684210526,-7.03,-5.97,-8.46,0
active_1033,-7.195,-7.145,-6.11,-8.2,0
active_1034,-7.986874999999999,-7.885,-7.16,-9.25,0
active_1035,-7.255555555555556,-7.26,-6.04,-8.12,0
active_1036,-7.366499999999999,-7.38,-5.51,-8.52,0
active_1037,-5.877000000000001,-5.845,-5.19,-6.41,0
active_1038,-5.328125,-5.449999999999999,-4.32,-5.8,0
active_1039,-6.8688,-6.82,-5.36,-8.17,0
active_103,-7.371666666666667,-7.68,-6.33,-8.48,1
active_1040,-5.660606060606061,-5.77,-4.25,-6.67,0
active_1041,-6.807272727272727,-6.69,-5.61,-8.11,0
active_1042,-5.2867741935483865,-5.22,-3.95,-6.58,0
active_1043,-5.588648648648649,-5.74,-4.34,-6.66,0
active_1044,-5.6,-5.52,-4.64,-6.51,0
active_1045,-4.53,-4.625,-3.14,-5.3,0
active_1046,-6.6971428571428575,-6.73,-5.48,-7.92,0
active_1047,-5.259375,-5.445,-3.79,-6.13,0
active_1048,-5.035294117647059,-4.99,-4.46,-5.84,0
active_1049,-6.074761904761904,-6.12,-4.74,-8.32,0
active_104,-6.813571428571428,-6.665,-5.83,-7.86,1
active_1050,-4.725555555555555,-4.71,-3.4,-6.01,0
active_1051,-5.833333333333334,-5.94,-4.03,-7.27,0
active_1052,-5.897241379310344,-6.08,-3.95,-6.89,0
active_1053,-5.181481481481482,-5.2,-4.21,-6.04,0
active_1054,-5.493157894736842,-5.33,-4.6,-6.59,0
active_1055,-6.878125000000001,-6.91,-5.87,-8.1,0
active_1056,-7.960677966101695,-7.89,-6.13,-9.46,0
active_1057,-5.977999999999999,-5.99,-4.75,-7.02,0
active_1058,-5.757948717948718,-5.765,-4.6,-6.91,0
active_1059,-5.855476190476191,-5.83,-4.69,-7.35,0
active_105,-6.93076923076923,-6.765000000000001,-5.61,-7.99,1
active_1060,-5.88574074074074,-5.824999999999999,-4.41,-7.17,0
active_1061,-5.943902439024391,-5.9,-4.84,-7.37,0
active_1062,-5.899111111111111,-5.91,-4.83,-6.93,0
active_1063,-5.787173913043477,-5.86,-4.76,-6.51,0
active_1064,-5.9332142857142856,-5.835,-4.55,-7.31,0
active_1065,-6.43462962962963,-6.43,-5.54,-7.26,0
active_1066,-5.892888888888889,-5.95,-4.85,-6.82,0
active_1067,-6.1365384615384615,-6.19,-5.0,-7.05,0
active_1068,-6.257727272727274,-6.275,-5.39,-6.91,0
active_1069,-6.10219512195122,-6.2,-5.16,-6.88,0
active_106,-6.745,-6.725,-5.99,-7.34,1
active_1070,-7.79588888888889,-7.779999999999999,-6.08,-9.32,0
active_1071,-6.437415730337079,-6.39,-5.28,-7.62,0
active_1072,-6.61,-6.58,-5.26,-7.59,0
active_1073,-9.263333333333334,-9.28,-7.71,-10.21,0
active_1074,-8.716842105263158,-8.6,-7.67,-9.91,0
active_1075,-7.561111111111111,-7.57,-6.59,-8.36,0
active_1076,-6.038591549295775,-6.02,-5.02,-7.28,0
active_1077,-6.419999999999999,-6.39,-5.46,-7.41,0
active_1078,-6.924305555555556,-6.955,-6.02,-7.77,0
active_1079,-5.873953488372092,-5.91,-4.2,-6.81,0
active_107,-6.836551724137931,-6.85,-5.77,-7.69,1
active_1080,-7.0712280701754375,-7.17,-5.87,-7.7,0
active_1081,-6.680499999999999,-6.62,-5.59,-7.74,0
active_1082,-6.8475806451612895,-6.865,-5.7,-7.5,0
active_1083,-6.14359649122807,-6.1850000000000005,-4.68,-7.13,0
active_1084,-6.519605263157895,-6.55,-5.52,-7.37,0
active_1085,-6.023448275862069,-6.07,-5.27,-6.84,0
active_1086,-5.779230769230769,-5.82,-4.51,-6.81,0
active_1087,-5.957735849056603,-6.01,-4.95,-7.19,0
active_1088,-6.752321428571428,-6.785,-5.36,-7.61,0
active_1089,-5.993448275862069,-5.89,-5.24,-7.07,0
active_108,-7.464193548387096,-7.36,-5.92,-8.63,1
active_1090,-6.077954545454546,-6.11,-5.24,-6.86,0
active_1091,-7.1623,-7.125,-5.91,-7.84,0
active_1092,-6.26318181818182,-6.405,-4.42,-7.83,0
active_1093,-5.207558139534884,-5.165,-3.98,-6.24,0
active_1094,-5.965675675675676,-5.94,-4.9,-6.82,0
active_1095,-8.165999999999999,-8.3,-5.97,-9.32,0
active_1096,-4.454594594594594,-4.35,-3.07,-5.28,0
active_1097,-6.1145,-6.115,-4.53,-7.34,0
active_1098,-5.4175,-5.42,-3.97,-6.41,0
active_1099,-6.152,-6.28,-5.14,-7.0,0
active_109,-6.62578947368421,-6.63,-5.2,-7.63,1
active_10,-9.188865248226952,-9.29,-7.57,-9.83,1
active_1100,-5.203823529411765,-5.195,-4.16,-6.07,0
active_1101,-6.3729850746268655,-6.37,-5.2,-7.72,0
active_1102,-6.228529411764706,-6.24,-4.96,-7.32,0
active_1103,-5.676610169491526,-5.69,-4.32,-6.96,0
active_1104,-6.363157894736842,-6.36,-5.48,-7.07,0
active_1105,-6.487307692307693,-6.44,-5.32,-7.67,0
active_1106,-6.0926,-6.1,-4.83,-7.46,0
active_1107,-6.097222222222222,-6.29,-4.71,-6.93,0
active_1108,-5.86,-5.96,-4.77,-6.76,0
active_1109,-5.164888888888889,-5.13,-4.28,-5.94,0
active_110,-7.011212121212122,-7.04,-5.85,-8.1,1
active_1110,-5.0239473684210525,-5.0600000000000005,-3.75,-6.44,0
active_1111,-6.626296296296295,-6.61,-5.67,-7.72,0
active_1112,-6.13,-6.13,-5.57,-6.88,0
active_1113,-5.81375,-5.985,-4.48,-6.7,0
active_1114,-6.628709677419355,-6.56,-5.56,-7.63,0
active_1115,-5.366888888888889,-5.29,-4.2,-6.31,0
active_1116,-5.734285714285714,-5.59,-5.07,-6.74,0
active_1117,-6.2682142857142855,-6.34,-5.31,-7.17,0
active_1118,-5.678636363636364,-5.62,-4.23,-7.04,0
active_1119,-5.328928571428572,-5.38,-4.45,-6.37,0
active_111,-6.730555555555556,-6.85,-5.63,-7.66,1
active_1120,-4.861764705882353,-4.96,-3.33,-6.4,0
active_1121,-4.758048780487805,-4.78,-3.92,-5.29,0
active_1122,-6.121111111111111,-6.01,-4.85,-6.98,0
active_1123,-5.667999999999999,-5.63,-4.52,-6.8,0
active_1124,-5.017142857142857,-4.99,-3.49,-6.31,0
active_1125,-6.44076923076923,-6.51,-5.06,-7.29,0
active_1126,-6.42,-6.43,-5.36,-7.34,0
active_1127,-6.226956521739129,-6.24,-5.42,-7.31,0
active_1128,-5.413235294117648,-5.455,-4.45,-6.26,0
active_1129,-5.55,-5.48,-4.36,-6.48,0
active_112,-5.880588235294118,-5.87,-5.08,-6.47,1
active_1130,-8.118285714285713,-8.27,-6.94,-9.12,0
active_1131,-6.656790123456791,-6.56,-5.72,-7.67,0
active_1132,-6.134655172413793,-6.195,-5.29,-6.81,0
active_1133,-6.4089887640449446,-6.48,-5.59,-7.07,0
active_1134,-9.374933333333331,-9.31,-7.9,-11.08,0
active_1135,-9.742615384615384,-9.93,-7.46,-11.01,0
