,gnina_CNN_pose_score_mean,gnina_CNN_pose_score_median,gnina_CNN_pose_score_max,gnina_CNN_pose_score_min,Active
active_1,-0.3,-0.24,-0.89,-0.0,1
active_10,-0.26,-0.16,-0.86,-0.0,1
active_100,-0.05,-0.02,-0.74,-0.0,1
active_1000,-0.05,-0.03,-0.47,-0.01,0
active_1001,-0.05,-0.03,-0.48,-0.01,0
active_1002,-0.05,-0.04,-0.4,-0.01,0
active_1003,-0.05,-0.03,-0.38,-0.0,0
active_1004,-0.06,-0.04,-0.48,-0.01,0
active_1005,-0.09,-0.03,-0.94,-0.0,0
active_1006,-0.11,-0.04,-0.9,-0.0,0
active_1007,-0.16,-0.04,-0.89,-0.01,0
active_1008,-0.08,-0.05,-0.5,-0.0,0
active_1009,-0.06,-0.04,-0.53,-0.0,0
active_101,-0.07,-0.03,-0.84,-0.0,1
active_1010,-0.06,-0.04,-0.63,-0.0,0
active_1011,-0.06,-0.04,-0.74,-0.0,0
active_1012,-0.05,-0.03,-0.53,-0.0,0
active_1013,-0.06,-0.03,-0.62,-0.0,0
active_1014,-0.06,-0.03,-0.56,-0.0,0
active_1015,-0.05,-0.03,-0.6,-0.01,0
active_1016,-0.05,-0.03,-0.51,-0.0,0
active_1017,-0.08,-0.04,-0.6,-0.0,0
active_1018,-0.08,-0.06,-0.75,-0.01,0
active_1019,-0.06,-0.03,-0.62,-0.0,0
active_102,-0.09,-0.04,-0.81,-0.0,1
active_1020,-0.04,-0.02,-0.6,-0.0,0
active_1021,-0.09,-0.05,-0.67,-0.01,0
active_1022,-0.06,-0.04,-0.47,-0.0,0
active_1023,-0.05,-0.03,-0.54,-0.0,0
active_1024,-0.04,-0.03,-0.45,-0.01,0
active_1025,-0.05,-0.03,-0.54,-0.01,0
active_1026,-0.05,-0.03,-0.52,-0.0,0
active_1027,-0.08,-0.03,-0.82,-0.0,0
active_1028,-0.06,-0.03,-0.51,-0.0,0
active_1029,-0.04,-0.02,-0.55,-0.0,0
active_103,-0.09,-0.04,-0.76,-0.0,1
active_1030,-0.07,-0.02,-0.64,-0.0,0
active_1031,-0.07,-0.03,-0.62,-0.0,0
active_1032,-0.08,-0.03,-0.76,-0.0,0
active_1033,-0.04,-0.02,-0.52,-0.0,0
active_1034,-0.08,-0.04,-0.73,-0.0,0
active_1035,-0.07,-0.02,-0.84,-0.0,0
active_1036,-0.04,-0.03,-0.59,-0.0,0
active_1037,-0.05,-0.03,-0.53,-0.01,0
active_1038,-0.06,-0.04,-0.56,-0.01,0
active_1039,-0.05,-0.03,-0.59,-0.01,0
active_104,-0.06,-0.02,-0.78,-0.0,1
active_1040,-0.07,-0.04,-0.69,-0.0,0
active_1041,-0.07,-0.04,-0.75,-0.01,0
active_1042,-0.07,-0.04,-0.66,-0.0,0
active_1043,-0.06,-0.03,-0.7,-0.01,0
active_1044,-0.07,-0.04,-0.77,-0.01,0
active_1045,-0.05,-0.03,-0.55,-0.01,0
active_1046,-0.06,-0.03,-0.62,-0.01,0
active_1047,-0.06,-0.04,-0.62,-0.01,0
active_1048,-0.06,-0.04,-0.55,-0.01,0
active_1049,-0.05,-0.03,-0.48,-0.01,0
active_105,-0.08,-0.03,-0.82,-0.0,1
active_1050,-0.07,-0.03,-0.71,-0.01,0
active_1051,-0.05,-0.03,-0.68,-0.01,0
active_1052,-0.06,-0.04,-0.64,-0.01,0
active_1053,-0.04,-0.02,-0.51,-0.0,0
active_1054,-0.04,-0.03,-0.51,-0.01,0
active_1055,-0.04,-0.03,-0.56,-0.0,0
active_1056,-0.06,-0.02,-0.77,-0.0,0
active_1057,-0.06,-0.03,-0.57,-0.0,0
active_1058,-0.06,-0.03,-0.5,-0.0,0
active_1059,-0.07,-0.04,-0.64,-0.0,0
active_106,-0.06,-0.03,-0.82,-0.0,1
active_1060,-0.07,-0.04,-0.6,-0.0,0
active_1061,-0.06,-0.04,-0.59,-0.0,0
active_1062,-0.06,-0.03,-0.68,-0.0,0
active_1063,-0.07,-0.04,-0.6,-0.0,0
active_1064,-0.07,-0.04,-0.61,-0.0,0
active_1065,-0.05,-0.03,-0.53,-0.0,0
active_1066,-0.07,-0.04,-0.51,-0.0,0
active_1067,-0.06,-0.03,-0.61,-0.0,0
active_1068,-0.05,-0.03,-0.49,-0.0,0
active_1069,-0.07,-0.04,-0.52,-0.0,0
active_107,-0.1,-0.05,-0.79,-0.0,1
active_1070,-0.08,-0.05,-0.6,-0.01,0
active_1071,-0.05,-0.04,-0.48,-0.01,0
active_1072,-0.04,-0.02,-0.41,-0.01,0
active_1073,-0.05,-0.02,-0.62,-0.0,0
active_1074,-0.07,-0.03,-0.9,-0.0,0
active_1075,-0.08,-0.05,-0.64,-0.0,0
active_1076,-0.07,-0.04,-0.58,-0.0,0
active_1077,-0.06,-0.04,-0.49,-0.01,0
active_1078,-0.07,-0.05,-0.66,-0.01,0
active_1079,-0.06,-0.04,-0.49,-0.01,0
active_108,-0.1,-0.04,-0.8,-0.0,1
active_1080,-0.05,-0.03,-0.5,-0.0,0
active_1081,-0.06,-0.03,-0.53,-0.01,0
active_1082,-0.05,-0.03,-0.61,-0.0,0
active_1083,-0.05,-0.02,-0.52,-0.0,0
active_1084,-0.06,-0.04,-0.5,-0.01,0
active_1085,-0.03,-0.02,-0.53,-0.01,0
active_1086,-0.06,-0.04,-0.55,-0.0,0
active_1087,-0.05,-0.03,-0.59,-0.0,0
active_1088,-0.05,-0.03,-0.48,-0.0,0
active_1089,-0.04,-0.02,-0.4,-0.0,0
