,gnina_affinity_mean,gnina_affinity_median,gnina_affinity_max,gnina_affinity_min,Active
active_1,-5.59,-5.52,-7.54,-4.01,1
active_10,-5.78,-5.73,-7.72,-3.32,1
active_100,-5.97,-5.92,-7.44,-5.12,1
active_1000,-5.65,-5.6,-6.8,-4.81,0
active_1001,-5.65,-5.62,-6.73,-4.75,0
active_1002,-5.53,-5.48,-6.44,-4.62,0
active_1003,-5.83,-5.77,-6.84,-5.07,0
active_1004,-5.68,-5.64,-6.55,-4.79,0
active_1005,-6.27,-6.14,-8.13,-5.23,0
active_1006,-6.37,-6.26,-7.95,-5.38,0
active_1007,-6.26,-6.04,-7.88,-5.2,0
active_1008,-6.38,-6.36,-7.55,-5.48,0
active_1009,-5.96,-5.94,-7.25,-5.11,0
active_101,-6.29,-6.2,-7.98,-5.33,1
active_1010,-5.86,-5.8,-7.39,-5.05,0
active_1011,-5.77,-5.7,-7.25,-5.03,0
active_1012,-5.9,-5.84,-7.25,-5.08,0
active_1013,-5.88,-5.8,-7.4,-5.11,0
active_1014,-5.79,-5.73,-7.36,-5.01,0
active_1015,-5.52,-5.46,-6.89,-4.76,0
active_1016,-5.89,-5.83,-7.29,-5.03,0
active_1017,-6.36,-6.32,-7.56,-5.4,0
active_1018,-5.28,-5.22,-6.79,-4.42,0
active_1019,-6.37,-6.33,-7.5,-5.57,0
active_102,-6.18,-6.09,-7.61,-5.39,1
active_1020,-5.8,-5.74,-7.41,-4.98,0
active_1021,-5.64,-5.53,-6.82,-4.69,0
active_1022,-6.2,-6.16,-7.18,-5.22,0
active_1023,-6.32,-6.28,-7.53,-5.39,0
active_1024,-5.87,-5.83,-7.27,-5.18,0
active_1025,-5.79,-5.74,-7.2,-5.1,0
active_1026,-5.82,-5.78,-6.93,-5.1,0
active_1027,-6.24,-6.13,-7.88,-5.34,0
active_1028,-6.15,-6.1,-7.42,-5.3,0
active_1029,-5.97,-5.94,-7.59,-5.26,0
active_103,-6.16,-6.05,-7.75,-5.39,1
active_1030,-6.26,-6.16,-7.69,-5.42,0
active_1031,-6.41,-6.31,-7.65,-5.53,0
active_1032,-6.35,-6.21,-7.79,-5.49,0
active_1033,-6.07,-6.02,-7.43,-5.25,0
active_1034,-6.35,-6.24,-7.8,-5.52,0
active_1035,-6.28,-6.17,-7.88,-5.5,0
active_1036,-5.91,-5.86,-7.58,-5.11,0
active_1037,-5.76,-5.72,-7.12,-4.95,0
active_1038,-5.74,-5.69,-7.28,-4.9,0
active_1039,-5.76,-5.71,-7.42,-4.92,0
active_104,-6.07,-6.0,-7.68,-5.22,1
active_1040,-5.82,-5.77,-7.39,-4.9,0
active_1041,-5.72,-5.65,-7.39,-4.85,0
active_1042,-5.88,-5.83,-7.38,-4.94,0
active_1043,-5.82,-5.76,-7.36,-4.92,0
active_1044,-5.72,-5.65,-7.42,-4.88,0
active_1045,-5.42,-5.38,-6.81,-4.55,0
active_1046,-5.84,-5.8,-7.3,-4.93,0
active_1047,-5.78,-5.72,-7.31,-4.95,0
active_1048,-5.7,-5.63,-7.05,-4.87,0
active_1049,-5.8,-5.77,-7.09,-5.0,0
active_105,-6.27,-6.18,-7.84,-5.34,1
active_1050,-5.7,-5.63,-7.35,-4.84,0
active_1051,-5.71,-5.65,-7.36,-4.87,0
active_1052,-5.8,-5.74,-7.3,-5.02,0
active_1053,-5.89,-5.84,-7.51,-5.1,0
active_1054,-5.85,-5.8,-7.44,-4.96,0
active_1055,-6.02,-5.98,-7.19,-5.15,0
active_1056,-6.29,-6.15,-8.02,-5.31,0
active_1057,-5.96,-5.9,-7.22,-5.12,0
active_1058,-5.88,-5.82,-7.03,-5.02,0
active_1059,-6.25,-6.21,-7.4,-5.44,0
active_106,-6.09,-6.0,-7.89,-5.34,1
active_1060,-5.98,-5.93,-7.11,-5.16,0
active_1061,-6.19,-6.15,-7.27,-5.37,0
active_1062,-6.02,-5.99,-7.18,-5.18,0
active_1063,-6.12,-6.08,-7.32,-5.36,0
active_1064,-6.09,-6.05,-7.31,-5.17,0
active_1065,-6.13,-6.08,-7.11,-5.19,0
active_1066,-6.0,-5.95,-7.11,-5.09,0
active_1067,-5.97,-5.92,-7.14,-5.18,0
active_1068,-6.04,-6.0,-7.12,-5.31,0
active_1069,-6.14,-6.09,-7.23,-5.36,0
active_107,-6.14,-6.04,-7.63,-5.34,1
active_1070,-6.16,-6.07,-7.29,-5.43,0
active_1071,-5.58,-5.52,-6.67,-4.68,0
active_1072,-5.75,-5.68,-7.24,-5.02,0
active_1073,-6.24,-6.16,-7.83,-5.51,0
active_1074,-6.38,-6.3,-8.57,-5.43,0
active_1075,-5.82,-5.76,-7.47,-4.83,0
active_1076,-5.81,-5.75,-6.93,-5.0,0
active_1077,-5.67,-5.62,-6.63,-4.71,0
active_1078,-5.56,-5.51,-6.58,-4.66,0
active_1079,-5.67,-5.6,-6.96,-4.79,0
active_108,-6.3,-6.19,-7.77,-5.38,1
active_1080,-5.86,-5.8,-6.85,-5.15,0
active_1081,-5.92,-5.87,-6.98,-4.95,0
active_1082,-5.79,-5.73,-7.07,-5.0,0
active_1083,-5.84,-5.76,-6.97,-5.1,0
active_1084,-5.59,-5.54,-6.61,-4.66,0
active_1085,-5.68,-5.62,-7.3,-4.99,0
active_1086,-6.12,-6.1,-7.3,-5.15,0
active_1087,-5.95,-5.91,-7.22,-5.16,0
active_1088,-6.19,-6.14,-7.36,-5.34,0
active_1089,-6.05,-6.01,-7.09,-5.34,0
active_109,-6.15,-6.04,-7.6,-5.28,1
active_1090,-5.56,-5.53,-6.66,-4.72,0
active_1091,-6.08,-6.02,-7.05,-5.37,0
active_1092,-6.17,-6.12,-7.56,-5.29,0
active_1093,-5.56,-5.53,-6.83,-4.87,0
active_1094,-5.69,-5.64,-7.07,-5.03,0
active_1095,-6.64,-6.51,-8.16,-5.56,0
active_1096,-5.26,-5.21,-6.87,-4.5,0
active_1097,-5.52,-5.46,-7.24,-4.62,0
active_1098,-5.5,-5.44,-7.25,-4.7,0
active_1099,-5.71,-5.68,-6.67,-4.84,0
active_11,-5.87,-5.8,-7.36,-4.97,1
active_110,-6.26,-6.19,-8.22,-5.55,1
active_1100,-5.45,-5.4,-6.88,-4.75,0
active_1101,-5.49,-5.42,-6.89,-4.67,0
active_1102,-5.44,-5.37,-6.74,-4.51,0
active_1103,-5.39,-5.37,-6.68,-4.55,0
active_1104,-5.51,-5.45,-6.92,-4.77,0
active_1105,-5.67,-5.63,-6.95,-4.94,0
active_1106,-5.63,-5.58,-6.9,-4.56,0
active_1107,-5.69,-5.58,-7.22,-4.85,0
active_1108,-5.64,-5.54,-7.29,-4.88,0
active_1109,-5.41,-5.36,-6.85,-4.67,0
active_111,-6.09,-6.04,-7.51,-5.44,1
active_1110,-4.94,-4.88,-6.35,-4.2,0
active_1111,-5.41,-5.33,-6.73,-4.4,0
active_1112,-5.74,-5.66,-7.48,-4.8,0
active_1113,-5.58,-5.52,-7.32,-4.62,0
active_1114,-5.72,-5.7,-6.93,-4.96,0
active_1115,-5.53,-5.48,-7.14,-4.8,0
active_1116,-5.82,-5.71,-7.34,-4.98,0
active_1117,-5.85,-5.76,-7.25,-4.85,0
active_1118,-5.79,-5.76,-7.09,-5.01,0
active_1119,-5.48,-5.39,-7.16,-4.52,0
active_112,-6.06,-5.97,-7.92,-5.31,1
active_1120,-5.32,-5.27,-6.59,-4.62,0
active_1121,-5.32,-5.26,-6.98,-4.56,0
active_1122,-5.59,-5.52,-7.1,-4.81,0
active_1123,-5.94,-5.9,-7.5,-4.94,0
active_1124,-5.33,-5.28,-6.72,-4.6,0
active_1125,-5.55,-5.47,-7.23,-4.65,0
active_1126,-5.54,-5.49,-6.93,-4.67,0
active_1127,-5.62,-5.56,-7.05,-4.75,0
active_1128,-5.58,-5.51,-7.0,-4.73,0
active_1129,-5.31,-5.25,-6.9,-4.45,0
active_113,-6.19,-6.09,-7.58,-5.42,1
active_1130,-6.13,-6.03,-7.92,-5.43,0
active_1131,-6.06,-5.97,-7.78,-5.24,0
active_1132,-5.88,-5.82,-7.29,-5.06,0
active_1133,-5.73,-5.61,-7.28,-5.05,0
active_1134,-6.32,-6.24,-8.08,-5.64,0
active_1135,-6.3,-6.2,-8.07,-5.57,0
active_1136,-6.22,-6.14,-7.95,-5.43,0
active_1137,-5.74,-5.67,-7.15,-5.01,0
active_1138,-6.46,-6.34,-8.14,-5.49,0
active_1139,-6.11,-6.05,-7.73,-5.1,0
active_114,-6.32,-6.2,-7.87,-5.47,1
active_1140,-5.86,-5.81,-7.28,-5.07,0
active_1141,-6.14,-6.1,-7.18,-5.26,0
active_1142,-5.18,-5.11,-6.75,-4.33,0
active_1143,-5.64,-5.54,-7.25,-4.74,0
active_1144,-5.41,-5.36,-6.62,-4.35,0
active_1145,-5.37,-5.31,-6.82,-4.63,0
active_1146,-5.4,-5.36,-6.64,-4.5,0
active_1147,-5.42,-5.39,-6.64,-4.53,0
active_1148,-5.36,-5.31,-6.7,-4.51,0
active_1149,-5.17,-5.12,-6.56,-4.28,0
active_115,-6.16,-6.08,-7.53,-5.4,1
active_1150,-5.57,-5.5,-6.94,-4.77,0
active_1151,-5.7,-5.64,-7.13,-5.0,0
active_1152,-5.83,-5.78,-6.86,-4.86,0
active_1153,-5.93,-5.88,-6.98,-5.15,0
active_1154,-5.98,-5.95,-7.09,-5.19,0
active_1155,-6.11,-6.06,-7.32,-5.21,0
active_1156,-6.02,-5.99,-7.05,-5.07,0
active_1157,-6.04,-6.0,-7.2,-5.04,0
active_1158,-5.83,-5.77,-7.5,-4.94,0
active_1159,-5.72,-5.65,-7.3,-4.71,0
active_116,-6.09,-5.99,-7.46,-5.25,1
active_1160,-5.62,-5.56,-7.1,-4.61,0
active_1161,-5.47,-5.39,-6.91,-4.68,0
active_1162,-5.69,-5.65,-7.29,-4.97,0
active_1163,-5.76,-5.68,-7.26,-4.98,0
active_1164,-5.84,-5.77,-7.22,-4.96,0
active_1165,-5.76,-5.72,-7.03,-5.15,0
active_1166,-5.71,-5.66,-7.41,-4.87,0
active_1167,-5.74,-5.67,-7.11,-5.05,0
active_1168,-5.72,-5.66,-7.14,-4.62,0
active_1169,-6.04,-5.97,-7.25,-5.13,0
active_117,-6.29,-6.15,-7.93,-5.53,1
active_1170,-5.7,-5.64,-6.95,-5.01,0
active_1171,-6.01,-5.99,-7.09,-5.0,0
active_1172,-6.18,-6.13,-7.58,-5.2,0
active_1173,-5.71,-5.64,-7.3,-4.85,0
active_1174,-5.7,-5.67,-7.28,-4.84,0
active_1175,-5.87,-5.82,-7.51,-5.01,0
active_1176,-5.99,-5.92,-7.15,-5.02,0
active_1177,-5.62,-5.56,-6.66,-4.96,0
active_1178,-5.93,-5.87,-7.14,-4.99,0
active_1179,-5.9,-5.87,-7.49,-4.93,0
active_118,-6.08,-6.0,-7.98,-5.29,1
active_1180,-5.87,-5.84,-7.23,-4.99,0
active_1181,-6.01,-5.95,-7.36,-5.15,0
active_1182,-5.95,-5.88,-7.54,-5.2,0
active_1183,-5.89,-5.83,-7.37,-5.13,0
active_1184,-6.08,-6.0,-7.72,-5.24,0
active_1185,-5.78,-5.74,-7.65,-5.04,0
active_1186,-5.92,-5.89,-7.46,-4.96,0
active_1187,-5.51,-5.44,-7.15,-4.77,0
active_1188,-6.02,-6.01,-7.25,-5.14,0
active_1189,-5.81,-5.76,-6.75,-5.17,0
active_119,-5.97,-5.88,-7.63,-5.2,1
active_1190,-6.09,-6.02,-7.4,-5.09,0
active_1191,-5.93,-5.87,-6.95,-5.28,0
active_1192,-5.67,-5.62,-7.09,-4.73,0
