,vina_gpu_mean,vina_gpu_median,vina_gpu_max,vina_gpu_min,Active
active_1,-8.92,-8.7,-8.5,-9.7,1
active_10,-9.28,-9.0,-8.9,-10.3,1
active_100,-7.93,-7.9,-7.6,-8.5,1
active_1000,-7.77,-7.7,-7.6,-8.1,0
active_1001,-8.05,-8.0,-7.9,-8.2,0
active_1002,-8.11,-8.1,-7.9,-8.5,0
active_1003,-7.65,-7.6,-7.5,-8.0,0
active_1004,-7.19,-7.2,-7.1,-7.4,0
active_1005,-8.0,-7.9,-7.8,-8.5,0
active_1006,-7.38,-7.4,-7.2,-7.6,0
active_1007,-8.44,-8.4,-8.2,-8.8,0
active_1008,-8.08,-8.1,-7.9,-8.3,0
active_1009,-7.21,-7.2,-7.1,-7.4,0
active_101,-7.32,-7.3,-7.1,-7.6,1
active_1010,-7.55,-7.5,-7.3,-7.9,0
active_1011,-7.65,-7.6,-7.5,-8.1,0
active_1012,-7.41,-7.4,-7.3,-7.6,0
active_1013,-7.4,-7.4,-7.2,-7.8,0
active_1014,-7.85,-7.9,-7.7,-8.0,0
active_1015,-7.89,-7.9,-7.7,-8.1,0
active_1016,-8.05,-8.1,-7.9,-8.4,0
active_1017,-7.3,-7.3,-7.1,-7.5,0
active_1018,-7.68,-7.7,-7.4,-7.9,0
active_1019,-7.56,-7.6,-7.4,-7.8,0
active_102,-7.86,-7.85,-7.7,-8.3,1
active_1020,-7.61,-7.6,-7.5,-7.7,0
active_1021,-7.84,-7.8,-7.7,-8.0,0
active_1022,-7.67,-7.65,-7.5,-7.9,0
active_1023,-7.99,-8.0,-7.9,-8.2,0
active_1024,-8.19,-8.2,-8.0,-8.5,0
active_1025,-7.74,-7.7,-7.6,-8.0,0
active_1026,-7.63,-7.6,-7.5,-7.8,0
active_1027,-7.48,-7.5,-7.3,-7.7,0
active_1028,-7.79,-7.8,-7.7,-8.0,0
active_1029,-7.42,-7.4,-7.2,-7.8,0
active_103,-7.71,-7.7,-7.5,-7.9,1
active_1030,-8.22,-8.1,-7.9,-8.8,0
active_1031,-7.71,-7.7,-7.5,-8.2,0
active_1032,-8.07,-8.1,-7.9,-8.3,0
active_1033,-7.61,-7.6,-7.4,-8.3,0
active_1034,-7.64,-7.6,-7.5,-7.9,0
active_1035,-8.12,-8.1,-7.9,-8.5,0
active_1036,-8.16,-8.1,-7.9,-8.4,0
active_1037,-7.57,-7.6,-7.4,-7.8,0
active_1038,-6.93,-6.9,-6.8,-7.2,0
active_1039,-7.74,-7.7,-7.6,-7.9,0
active_104,-7.36,-7.35,-7.2,-7.5,1
active_1040,-6.83,-6.8,-6.7,-7.3,0
active_1041,-7.18,-7.1,-7.0,-7.6,0
active_1042,-6.75,-6.7,-6.6,-6.9,0
active_1043,-6.9,-6.9,-6.8,-7.1,0
active_1044,-6.9,-6.9,-6.7,-7.1,0
active_1045,-7.03,-7.0,-6.8,-7.3,0
active_1046,-7.63,-7.6,-7.4,-7.9,0
active_1047,-6.94,-6.9,-6.8,-7.1,0
active_1048,-6.88,-6.8,-6.7,-7.1,0
active_1049,-6.72,-6.6,-6.5,-7.1,0
active_105,-7.66,-7.65,-7.5,-7.8,1
active_1050,-6.84,-6.8,-6.7,-7.1,0
active_1051,-7.23,-7.2,-7.0,-7.6,0
active_1052,-6.96,-6.9,-6.8,-7.4,0
active_1053,-6.96,-6.9,-6.8,-7.3,0
active_1054,-7.02,-7.0,-6.9,-7.2,0
active_1055,-8.66,-8.6,-8.4,-9.0,0
active_1056,-8.45,-8.4,-8.2,-8.8,0
active_1057,-7.6,-7.6,-7.4,-7.8,0
active_1058,-7.36,-7.3,-7.1,-7.6,0
active_1059,-7.62,-7.6,-7.5,-7.8,0
active_106,-8.24,-8.2,-8.1,-8.4,1
active_1060,-7.53,-7.5,-7.4,-7.9,0
active_1061,-7.74,-7.7,-7.5,-7.9,0
active_1062,-7.56,-7.6,-7.4,-7.8,0
active_1063,-7.66,-7.65,-7.5,-7.8,0
active_1064,-7.25,-7.2,-7.1,-7.7,0
active_1065,-8.14,-8.1,-8.0,-8.3,0
active_1066,-7.77,-7.8,-7.6,-8.0,0
active_1067,-7.99,-8.0,-7.7,-8.2,0
active_1068,-7.93,-7.9,-7.7,-8.1,0
active_1069,-7.78,-7.8,-7.6,-8.0,0
active_107,-8.16,-8.1,-8.0,-8.4,1
active_1070,-8.55,-8.5,-8.4,-8.8,0
active_1071,-8.21,-8.2,-8.0,-8.6,0
active_1072,-6.81,-6.8,-6.6,-7.1,0
active_1073,-8.49,-8.4,-8.2,-9.3,0
active_1074,-8.08,-8.05,-7.9,-8.3,0
active_1075,-8.45,-8.4,-8.2,-8.8,0
active_1076,-7.67,-7.7,-7.6,-7.8,0
active_1077,-8.07,-8.0,-7.9,-8.5,0
active_1078,-8.28,-8.3,-8.2,-8.4,0
active_1079,-7.73,-7.7,-7.5,-7.9,0
active_108,-7.87,-7.8,-7.6,-8.2,1
active_1080,-8.21,-8.2,-8.1,-8.4,0
active_1081,-7.8,-7.8,-7.7,-8.0,0
