iter	Passed	Remaining
0	57	57670
1	59	29677
2	61	20339
3	63	15702
4	65	13009
5	67	11205
6	69	9851
7	71	8875
8	74	8151
9	75	7490
10	77	6977
11	79	6516
12	80	6127
13	82	5837
14	84	5566
15	86	5308
16	88	5100
17	89	4906
18	91	4721
19	93	4569
20	94	4416
21	96	4284
22	97	4162
23	100	4101
24	102	3997
25	104	3913
26	106	3826
27	108	3753
28	110	3694
29	112	3635
30	114	3570
31	116	3516
32	117	3455
33	119	3396
34	121	3352
35	123	3314
36	125	3267
37	127	3224
38	129	3190
39	131	3157
40	133	3126
41	135	3095
42	137	3055
43	139	3027
44	142	3015
45	143	2986
46	145	2956
47	148	2937
48	149	2908
49	151	2885
50	153	2856
51	155	2833
52	157	2806
53	158	2782
54	160	2764
55	163	2748
56	164	2728
57	167	2712
58	168	2694
59	170	2673
60	172	2655
61	174	2635
62	175	2614
63	177	2597
64	179	2581
65	181	2562
66	182	2543
67	184	2524
68	185	2505
69	187	2485
70	188	2468
71	190	2451
72	191	2434
73	193	2418
74	194	2401
75	196	2385
76	197	2369
77	199	2354
78	200	2341
79	202	2333
80	204	2323
81	206	2316
82	208	2307
83	210	2300
84	213	2293
85	215	2285
86	216	2276
87	219	2270
88	221	2265
89	223	2259
90	225	2253
91	227	2241
92	228	2230
93	230	2221
94	232	2212
95	234	2206
96	236	2197
97	238	2190
98	239	2182
99	241	2174
100	243	2166
101	245	2163
102	248	2162
103	250	2154
104	252	2149
105	253	2140
106	255	2131
107	257	2122
108	258	2114
109	260	2105
110	262	2099
111	264	2093
112	266	2087
113	267	2078
114	269	2070
115	270	2062
116	272	2053
117	273	2045
118	275	2039
119	277	2032
120	278	2026
121	280	2018
122	281	2010
123	283	2004
124	285	1996
125	286	1988
126	288	1981
127	289	1974
128	291	1966
129	292	1959
130	294	1951
131	295	1944
132	298	1942
133	299	1938
134	301	1933
135	303	1926
136	304	1921
137	306	1914
138	308	1909
139	310	1905
140	311	1899
141	313	1892
142	314	1885
143	316	1879
144	317	1873
145	319	1866
146	320	1860
147	322	1854
148	323	1848
149	325	1842
150	326	1836
151	328	1830
152	329	1824
153	331	1818
154	332	1813
155	334	1807
156	335	1802
157	337	1796
158	338	1791
159	340	1785
160	341	1780
161	343	1774
162	344	1769
163	346	1764
164	347	1758
165	349	1754
166	351	1751
167	352	1748
168	354	1743
169	356	1739
170	357	1735
171	359	1730
172	360	1725
173	362	1720
174	364	1716
175	365	1711
176	367	1707
177	368	1702
178	370	1697
179	371	1693
180	373	1688
181	374	1683
182	376	1678
183	377	1674
184	379	1670
185	380	1666
186	382	1661
187	383	1657
188	385	1652
189	386	1648
190	388	1644
191	389	1640
192	391	1636
193	392	1632
194	394	1628
195	396	1624
196	397	1620
197	398	1615
198	400	1611
199	400	1603
200	402	1599
201	403	1595
202	405	1592
203	407	1588
204	408	1584
205	410	1580
206	411	1576
207	413	1572
208	414	1568
209	415	1564
210	417	1561
211	419	1558
212	420	1555
213	422	1551
214	424	1549
215	426	1546
216	427	1543
217	429	1540
218	431	1537
219	432	1533
220	434	1531
221	436	1528
222	437	1525
223	439	1523
224	441	1521
225	443	1518
226	444	1514
227	446	1510
228	447	1507
229	449	1504
